id,domain,backend,mode,factual_accuracy,hallucination_rate,citation_coverage,n_facts_total,n_facts_hit,n_sentences_total,judge_backend,judge_self_bias_risk,judge_overall,judge_accuracy,judge_completeness,judge_logic,judge_citation,judge_readability,elapsed_s,error
rb-002,ai-ml-fundamentals,mimo,pipeline-rerun,1.0000,0.1887,0.4528,7,7,212,mimo-fallback,1,4.250,4.250,4.500,4.500,4.000,4.000,2.53,
rb-001,ai-ml-fundamentals,mimo,pipeline-rerun,1.0000,0.1678,0.5753,7,7,292,mimo-fallback,1,4.810,4.800,4.950,4.800,4.800,4.700,37.77,
